id,dataset,label,status,flags,review,reason,reviewer,figure,inspection_scope,review_meaning,sector_method,stability_min_iou
ev9v_d47d8e7414433eb2,ev9v,A4C,SUCCESS,color_outside_region,MINOR_ISSUE,"Regular fan outline; no obvious new tissue loss in sampled first/middle/last frames. Small ticks, thin marker fragments or occasional ECG tips at the imaging boundary remain.",assistant_visual_inspection,cases/ev9v_d47d8e7414433eb2.png,Stage 2 release: all full-audit before/after pages plus first/middle/last comparisons decoded from actual release MP4s. Subset additionally inspected in four-panel figures. Not full cine playback or clinical validation.,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure,geometry_fit,0.9943223736968725
ev9v_7de26f89888ddbbc,ev9v,A5C,SUCCESS,color_outside_region|geometry_fallback_hull,MINOR_ISSUE,Geometry rejected; trusted hull fallback. Visible tissue retained; full dark boundary and small edge markers remain uncertain.,assistant_visual_inspection,cases/ev9v_7de26f89888ddbbc.png,Stage 2 release: all full-audit before/after pages plus first/middle/last comparisons decoded from actual release MP4s. Subset additionally inspected in four-panel figures. Not full cine playback or clinical validation.,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure,fallback_hull,
ev9v_a9b7d8c2e96c23f1,ev9v,PASA,LOW_CONFIDENCE,low_solidity|color_outside_region|manual_review_required|geometry_fallback_hull|geometry_unreliable,FAIL,"Geometry rejected; original raw frames correctly retained, with UI unresolved.",assistant_visual_inspection,cases/ev9v_a9b7d8c2e96c23f1.png,Stage 2 release: all full-audit before/after pages plus first/middle/last comparisons decoded from actual release MP4s. Subset additionally inspected in four-panel figures. Not full cine playback or clinical validation.,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure,fallback_hull,
ev9v_ab4ebfd3efdbf565,ev9v,PLHLA,SUCCESS,color_outside_region,MINOR_ISSUE,"Regular fan outline; no obvious new tissue loss in sampled first/middle/last frames. Small ticks, thin marker fragments or occasional ECG tips at the imaging boundary remain.",assistant_visual_inspection,cases/ev9v_ab4ebfd3efdbf565.png,Stage 2 release: all full-audit before/after pages plus first/middle/last comparisons decoded from actual release MP4s. Subset additionally inspected in four-panel figures. Not full cine playback or clinical validation.,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure,geometry_fit,0.9951337415404448
ev9v_cd3379c7d3cb01d0,ev9v,PMASA,SUCCESS,color_outside_region|geometry_temporal_instability|geometry_fallback_hull,MINOR_ISSUE,Geometry rejected; trusted hull fallback. Visible tissue retained; full dark boundary and small edge markers remain uncertain.,assistant_visual_inspection,cases/ev9v_cd3379c7d3cb01d0.png,Stage 2 release: all full-audit before/after pages plus first/middle/last comparisons decoded from actual release MP4s. Subset additionally inspected in four-panel figures. Not full cine playback or clinical validation.,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure,fallback_hull,0.9540021844281479
ev9v_8e2bfdace84406da,ev9v,PMPALA,SUCCESS,color_outside_region,MINOR_ISSUE,"Regular fan outline; no obvious new tissue loss in sampled first/middle/last frames. Small ticks, thin marker fragments or occasional ECG tips at the imaging boundary remain.",assistant_visual_inspection,cases/ev9v_8e2bfdace84406da.png,Stage 2 release: all full-audit before/after pages plus first/middle/last comparisons decoded from actual release MP4s. Subset additionally inspected in four-panel figures. Not full cine playback or clinical validation.,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure,geometry_fit,0.9937461719480352
ev9v_64426727a52ea9f4,ev9v,PMVLSA,SUCCESS,color_outside_region|geometry_fallback_hull,PASS,Geometry rejected; trusted hull fallback. Visible tissue retained; full dark boundary and small edge markers remain uncertain.,assistant_visual_inspection,cases/ev9v_64426727a52ea9f4.png,Stage 2 release: all full-audit before/after pages plus first/middle/last comparisons decoded from actual release MP4s. Subset additionally inspected in four-panel figures. Not full cine playback or clinical validation.,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure,fallback_hull,
ev9v_c4c5ec54d47a2742,ev9v,PPMLSA,SUCCESS,color_outside_region,MINOR_ISSUE,"Regular fan outline; no obvious new tissue loss in sampled first/middle/last frames. Small ticks, thin marker fragments or occasional ECG tips at the imaging boundary remain.",assistant_visual_inspection,cases/ev9v_c4c5ec54d47a2742.png,Stage 2 release: all full-audit before/after pages plus first/middle/last comparisons decoded from actual release MP4s. Subset additionally inspected in four-panel figures. Not full cine playback or clinical validation.,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure,geometry_fit,0.9958177986707732
ev9v_e09d4abae5858917,ev9v,SC4C,SUCCESS,color_outside_region|geometry_temporal_instability|geometry_fallback_hull,MINOR_ISSUE,Geometry rejected; trusted hull fallback. Visible tissue retained; full dark boundary and small edge markers remain uncertain.,assistant_visual_inspection,cases/ev9v_e09d4abae5858917.png,Stage 2 release: all full-audit before/after pages plus first/middle/last comparisons decoded from actual release MP4s. Subset additionally inspected in four-panel figures. Not full cine playback or clinical validation.,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure,fallback_hull,0.9463312237608873
echonet_lvh_a67d379a7405b52b,echonet_lvh,PLAX 800x600,PASSTHROUGH,precropped,MINOR_ISSUE,Correct pass-through preserves anatomy and original canvas. Inherited edge markers and/or small ECG fragments remain in the source.,assistant_visual_inspection,cases/echonet_lvh_a67d379a7405b52b.png,Stage 2 release: all full-audit before/after pages plus first/middle/last comparisons decoded from actual release MP4s. Subset additionally inspected in four-panel figures. Not full cine playback or clinical validation.,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure,retained_stage1,
