id,role,tuning,baseline_status,status,method,family,flags,layout,exclusion_loss,skip_reason,stability_passed,stability_iou,flank_consensus,flank_span,arc_support,evidence_retained,core_retained,motion_retained,area_ratio,iou,boundary_residual_px,boundary_residual_p80_px,boundary_consensus,cut_depth_px,allowed_clip_fraction,score,review,reason,reviewer,inspection_scope,review_meaning
ev9v_d47d8e7414433eb2,moving normal/wide fan and ECG,True,SUCCESS,SUCCESS,geometry_fit,standard_fan,color_outside_region,ev9v_philips_320_registered,0.0,,True,0.9943223736968725,0.9795918367346939,1.0,0.9736842105263158,0.9973491027732463,0.999546406140963,0.9997958683759288,1.0524401848830887,0.9452729908197778,1.0,6.4031242374328485,0.7973372781065089,2.473011636398349,0.005076305220883534,0.013663675910821182,MINOR_ISSUE,Stable fan fit preserves sampled visible tissue and removes major UI/ECG; small fan-edge ticks remain.,assistant_visual_inspection,Final four-panel subset figures; full-audit sampled first/middle/last checks separately recorded. Not independent human review.,"Clean-output readiness; FAIL includes safe raw retention, not execution failure."
ev9v_7de26f89888ddbbc,moving narrower support,True,SUCCESS,SUCCESS,fallback_hull,,color_outside_region|geometry_fallback_hull,ev9v_philips_320_registered,0.0,,,,,,,,,,,,,,,,,,MINOR_ISSUE,Hull fallback preserves visible anatomy and removes major UI; narrow visible support does not reliably constrain full geometry.,assistant_visual_inspection,Final four-panel subset figures; full-audit sampled first/middle/last checks separately recorded. Not independent human review.,"Clean-output readiness; FAIL includes safe raw retention, not execution failure."
ev9v_a9b7d8c2e96c23f1,dark sector,True,LOW_CONFIDENCE,LOW_CONFIDENCE,fallback_hull,,low_solidity|color_outside_region|manual_review_required|geometry_fallback_hull|geometry_unreliable,ev9v_philips_320_registered,0.0,,,,,,,,,,,,,,,,,,FAIL,Insufficient dark-sector boundary evidence; original raw image retained correctly. Not ready as a clean cropped output.,assistant_visual_inspection,Final four-panel subset figures; full-audit sampled first/middle/last checks separately recorded. Not independent human review.,"Clean-output readiness; FAIL includes safe raw retention, not execution failure."
ev9v_cd3379c7d3cb01d0,moving wide fan,True,SUCCESS,SUCCESS,fallback_hull,,color_outside_region|geometry_temporal_instability|geometry_fallback_hull,ev9v_philips_320_registered,0.0,unstable_geometry,False,0.9540021844281479,,,,,,,,,,,,,,,MINOR_ISSUE,"Temporal fit check rejects geometry; trusted hull retained. Visible tissue preserved, with residual fan-edge markers.",assistant_visual_inspection,Final four-panel subset figures; full-audit sampled first/middle/last checks separately recorded. Not independent human review.,"Clean-output readiness; FAIL includes safe raw retention, not execution failure."
ev9v_64426727a52ea9f4,moving narrower visible field,True,SUCCESS,SUCCESS,fallback_hull,,color_outside_region|geometry_fallback_hull,ev9v_philips_320_registered,0.0,,,,,,,,,,,,,,,,,,MINOR_ISSUE,Hull fallback preserves bright far-field tissue; full dark boundary is not established.,assistant_visual_inspection,Final four-panel subset figures; full-audit sampled first/middle/last checks separately recorded. Not independent human review.,"Clean-output readiness; FAIL includes safe raw retention, not execution failure."
ev9v_c4c5ec54d47a2742,moving fan with edge ticks,True,SUCCESS,SUCCESS,geometry_fit,standard_fan,color_outside_region,ev9v_philips_320_registered,0.0,,True,0.9958177986707732,0.8571428571428571,1.0,0.9736842105263158,0.9976953058803593,0.9994098246832147,1.0,1.040128791730215,0.9570829404688364,1.0,3.605551275463989,0.8291139240506329,2.23606797749979,0.0029888567622884245,0.01198635824436535,MINOR_ISSUE,Stable fan outline preserves sampled visible tissue; small right-edge ticks/line fragment remain.,assistant_visual_inspection,Final four-panel subset figures; full-audit sampled first/middle/last checks separately recorded. Not independent human review.,"Clean-output readiness; FAIL includes safe raw retention, not execution failure."
ev9v_fb3e1179f73d21f2,JPEG sequence with ECG / boundary artifacts,True,LOW_CONFIDENCE,LOW_CONFIDENCE,fallback_hull,,overlay_contact|low_solidity|color_outside_region|manual_review_required|geometry_temporal_instability|geometry_fallback_hull|geometry_unreliable,ev9v_philips_320_registered,0.0012621709340064912,unstable_geometry,False,0.8021938032855064,,,,,,,,,,,,,,,FAIL,"Sampling-phase sensitivity blocks promotion; original frames retained correctly, including ECG/UI.",assistant_visual_inspection,Final four-panel subset figures; full-audit sampled first/middle/last checks separately recorded. Not independent human review.,"Clean-output readiness; FAIL includes safe raw retention, not execution failure."
unity_7cda63d7242f48fa,static raw dark-screen retention control,False,MULTI_REGION,MULTI_REGION,retained_stage1,,multiple_regions|static_only|small_area|low_solidity|manual_review_required,,,MULTI_REGION,,,,,,,,,,,,,,,,,FAIL,Raw static screen correctly retained under frozen MULTI_REGION heuristic; full dark sector remains unresolved.,assistant_visual_inspection,Final four-panel subset figures; full-audit sampled first/middle/last checks separately recorded. Not independent human review.,"Clean-output readiness; FAIL includes safe raw retention, not execution failure."
unity_bdefb61b0cc5feb6,static tinted raw-screen retention control,False,STATIC,STATIC,retained_stage1,,static_only|color_outside_region|manual_review_required,,,STATIC,,,,,,,,,,,,,,,,,FAIL,Static tinted raw screen correctly retained; UI remains and Stage 2 does not fit this control.,assistant_visual_inspection,Final four-panel subset figures; full-audit sampled first/middle/last checks separately recorded. Not independent human review.,"Clean-output readiness; FAIL includes safe raw retention, not execution failure."
samples_dicom_eb89e1fa39011987,rotated color wedge / multiple-panel retention control,False,MULTI_REGION,MULTI_REGION,retained_stage1,,multiple_regions|small_area|low_solidity|motion_not_captured|color_outside_region|manual_review_required,,,MULTI_REGION,,,,,,,,,,,,,,,,,FAIL,Color main wedge and reference panel correctly retained together; raw UI remains. Multi-region/color handling deferred.,assistant_visual_inspection,Final four-panel subset figures; full-audit sampled first/middle/last checks separately recorded. Not independent human review.,"Clean-output readiness; FAIL includes safe raw retention, not execution failure."
