id,dataset,label,status,flags,review,reason,reviewer,figure,inspection_scope,review_meaning
ev9v_d47d8e7414433eb2,ev9v,A4C,SUCCESS,band_bottom|color_outside_region,MINOR_ISSUE,"Main imaging region and sampled temporal content retained; major UI removed, with residual small markers near the sector edge.",assistant_visual_inspection,cases/ev9v_d47d8e7414433eb2.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
ev9v_7de26f89888ddbbc,ev9v,A5C,SUCCESS,color_outside_region,MINOR_ISSUE,"Main imaging region and sampled temporal content retained; major UI removed, with residual small markers near the sector edge.",assistant_visual_inspection,cases/ev9v_7de26f89888ddbbc.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
ev9v_a9b7d8c2e96c23f1,ev9v,PASA,LOW_CONFIDENCE,low_solidity|color_outside_region|manual_review_required,FAIL,Dark-sector boundary is uncertain; original screen retained to avoid an inward crop.,assistant_visual_inspection,cases/ev9v_a9b7d8c2e96c23f1.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
ev9v_ab4ebfd3efdbf565,ev9v,PLHLA,SUCCESS,color_outside_region,MINOR_ISSUE,"Main imaging region and sampled temporal content retained; major UI removed, with residual small markers near the sector edge.",assistant_visual_inspection,cases/ev9v_ab4ebfd3efdbf565.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
ev9v_cd3379c7d3cb01d0,ev9v,PMASA,SUCCESS,color_outside_region,MINOR_ISSUE,"Main imaging region and sampled temporal content retained; major UI removed, with residual small markers near the sector edge.",assistant_visual_inspection,cases/ev9v_cd3379c7d3cb01d0.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
ev9v_8e2bfdace84406da,ev9v,PMPALA,SUCCESS,color_outside_region,MINOR_ISSUE,"Main imaging region and sampled temporal content retained; major UI removed, with residual small markers near the sector edge.",assistant_visual_inspection,cases/ev9v_8e2bfdace84406da.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
ev9v_64426727a52ea9f4,ev9v,PMVLSA,SUCCESS,color_outside_region,PASS,External UI removed with no obvious new clipping in first/middle/last frames; true invisible sector boundary is not validated.,assistant_visual_inspection,cases/ev9v_64426727a52ea9f4.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
ev9v_c4c5ec54d47a2742,ev9v,PPMLSA,SUCCESS,color_outside_region,MINOR_ISSUE,"Main imaging region and sampled temporal content retained; major UI removed, with residual small markers near the sector edge.",assistant_visual_inspection,cases/ev9v_c4c5ec54d47a2742.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
ev9v_e09d4abae5858917,ev9v,SC4C,SUCCESS,color_outside_region,MINOR_ISSUE,"Main imaging region and sampled temporal content retained; major UI removed, with residual small markers near the sector edge.",assistant_visual_inspection,cases/ev9v_e09d4abae5858917.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
echonet_lvh_a67d379a7405b52b,echonet_lvh,PLAX 800x600,PASSTHROUGH,precropped,MINOR_ISSUE,Correct pass-through preserves anatomy and original canvas. Inherited edge markers and/or small ECG fragments remain in the source.,assistant_visual_inspection,cases/echonet_lvh_a67d379a7405b52b.png,Final release: all before/after cases and first/middle/last frames decoded from actual release MP4s; not full cine playback or clinical validation,Clean-output readiness: FAIL includes safely flagged raw outputs; not an execution failure
